description,team,priority
Index rebuild required on the customers table for performance,DATABASE,MEDIUM
the analytics platform is down and users cannot log in,APPLICATION,LOW
the internal wiki dashboard is showing a blank page,APPLICATION,LOW
Deadlock errors occurring on the orders table,DATABASE,MEDIUM
Sam cannot access the reporting tool at all,APPLICATION,MEDIUM
Network latency is very high when accessing internal sites,NETWORK,HIGH
Suspicious login attempts detected on Fatima's account,CLOUD,HIGH
Site-to-site VPN tunnel between offices is down,NETWORK,CRITICAL
Slow query performance on the the billing service reporting database,DATABASE,MEDIUM
Unable to connect to PostgreSQL instance from the internal wiki,DATABASE,LOW
the billing service outage affecting the Toronto office,CLOUD,MEDIUM
Load balancer health checks failing for the HR portal service,CLOUD,MEDIUM
User reports their account may have been compromised,SECURITY,MEDIUM
RDS instance for the HR portal needs to be resized,CLOUD,HIGH
Maria is getting a permission denied error in the payment gateway,APPLICATION,MEDIUM
Packet loss detected on the Toronto network segment,NETWORK,MEDIUM
the CRM deployment caused an outage,DEVOPS,HIGH
Terraform apply failed while provisioning the CRM infrastructure,DEVOPS,MEDIUM
Priya is getting a permission denied error in the CRM,APPLICATION,HIGH
Packet loss detected on the London network segment,SECURITY,HIGH
Production database is running out of disk space,DATABASE,CRITICAL
S3 bucket permissions need to be updated for the HR portal,CLOUD,LOW
Index rebuild required on the customers table for performance,DATABASE,HIGH
VLAN configuration issue causing intermittent connectivity,NETWORK,HIGH
Need to roll back the latest deployment of the internal wiki,DEVOPS,HIGH
CloudWatch alarms not triggering notifications,CLOUD,MEDIUM
Deployment of the reporting tool to production failed,DEVOPS,LOW
Performance degradation reported on the CRM,APPLICATION,HIGH
Index rebuild required on the customers table for performance,DATABASE,LOW
Error 500 when submitting the form on the order management system,DATABASE,HIGH
Wi-Fi is down on the ground floor,NETWORK,CRITICAL
Login is broken for Maria on the reporting tool,APPLICATION,MEDIUM
Feature request: add export to CSV in the payment gateway,APPLICATION,LOW
High CPU usage on the database server during peak hours,DATABASE,MEDIUM
VLAN configuration issue causing intermittent connectivity,NETWORK,HIGH
Request to review firewall rules for compliance audit,SECURITY,MEDIUM
MySQL server crashed and restarted unexpectedly,NETWORK,MEDIUM
RDS instance for the customer portal needs to be resized,CLOUD,LOW
Need a new IAM role created for the the reporting tool team,CLOUD,LOW
the inventory system dashboard is showing a blank page,APPLICATION,LOW
Unable to connect to PostgreSQL instance from the inventory system,DATABASE,MEDIUM
CloudWatch alarms not triggering notifications,CLOUD,LOW
Application crashes on login for Wei,APPLICATION,HIGH
the order management system is extremely slow for everyone,APPLICATION,MEDIUM
DNS resolution is failing for internal domains,NETWORK,HIGH
the reporting tool is running very slowly for all users,APPLICATION,MEDIUM
RDS instance for the inventory system needs to be resized,CLOUD,MEDIUM
Database replication lag between primary and replica,DATABASE,LOW
Monitoring dashboard for the order management system is not showing recent metrics,DEVOPS,CRITICAL
DNS resolution is failing for internal domains,NETWORK,MEDIUM
Lambda function timing out when processing the HR portal events,CLOUD,MEDIUM
Network latency is very high when accessing internal sites,NETWORK,LOW
Multi-factor authentication not working for Wei,SECURITY,HIGH
Unable to connect to the office VPN from home,NETWORK,LOW
the order management system is down and users cannot log in,APPLICATION,CRITICAL
Docker container for the payment gateway keeps crashing on startup,DEVOPS,HIGH
Search functionality in the CRM returns no results,APPLICATION,HIGH
the HR portal is down and users cannot log in,SECURITY,HIGH
Deadlock errors occurring on the orders table,DATABASE,MEDIUM
Application crashes on login for Sam,APPLICATION,HIGH
Carlos cannot access the analytics platform at all,APPLICATION,CRITICAL
Phishing email reported by Fatima,SECURITY,HIGH
SSL certificate for the HR portal is expiring soon,SECURITY,MEDIUM
Wi-Fi is down on the ground floor,NETWORK,MEDIUM
Error 500 when submitting the form on the customer portal,APPLICATION,MEDIUM
Need to provision a new environment for the customer portal on AWS,CLOUD,MEDIUM
Request to review firewall rules for compliance audit,SECURITY,CRITICAL
User reports their account may have been compromised,SECURITY,LOW
VPN connection keeps dropping for Maria,NETWORK,MEDIUM
Production database is running out of disk space,DATABASE,HIGH
Wi-Fi is down on the 2nd floor,NETWORK,HIGH
Phishing email reported by Fatima,SECURITY,HIGH
Network latency is very high when accessing internal sites,NETWORK,MEDIUM
VLAN configuration issue causing intermittent connectivity,NETWORK,HIGH
Monitoring dashboard for the analytics platform is not showing recent metrics,DEVOPS,MEDIUM
User reports their account may have been compromised,SECURITY,HIGH
Unable to connect to PostgreSQL instance from the HR portal,DATABASE,MEDIUM
Load balancer health checks failing for the internal wiki service,CLOUD,HIGH
Security scan flagged outdated software on several laptops,SECURITY,HIGH
Need to add a new secret to the the CRM pipeline,DEVOPS,HIGH
Unable to connect to the office VPN from home,NETWORK,CRITICAL
Security scan flagged outdated software on several laptops,SECURITY,HIGH
